12800,1820,2670
12900,1850,2630
11900,1810,2180
11600,1830,2310
12800,2190,2520
12800,1930,2720
12800,1870,2800
13000,1990,2780
12500,3690,2780
12200,2990,2700
12500,2470,2750
12000,2670,2710
11900,2580,2780
11300,2800,2630
10300,2730,2520
9570,2660,2330
8450,2470,1990
8320,2460,2140
8480,2270,2210
7630,2110,2200
7750,2100,2170
7890,2050,2220
8010,1780,2180
8200,1780,2230
8520,2020,2030
8940,2340,2170
9990,2340,2390
10800,2220,2620
11300,2170,2810
12100,2230,3050
10900,2490,2690
9600,2440,2450
11300,2470,2780
12000,2670,2880
11800,2940,2870
12200,3120,2980
12500,3330,2820
12800,2990,2790
14000,4050,3060
14400,5150,3250
16100,6410,3610
16200,7040,3650
15800,7580,3610
4480,2090,650
4470,2080,658
5080,2110,662
4680,2180,690
4900,2220,704
5070,2290,703
5450,2400,804
5760,2470,863
6500,2660,1030
7620,2760,1060
7720,2830,1060
6730,2840,1090
6950,2880,1090
7450,2950,1120
8060,3000,1150
7690,2960,1130
7770,3080,1160
8040,3250,1140
7980,3390,1200
7850,3440,1290
6620,3350,1180
4400,3170,846
2400,3010,767
2250,3100,815
2390,3860,940
2110,3590,883
2100,3420,813
1630,3240,766
1860,3130,830
3100,3170,836
3200,3200,844
3420,3170,845
3960,3170,918
4260,3180,860
4440,3130,930
4200,3120,847
4170,3090,879
4280,2970,826
4230,2850,786
3810,2750,791
4140,2770,779
4390,2780,784
4120,2810,787
46500,18900,2140
60100,22300,2450
106000,34400,2490
151000,46500,2320
117000,39300,2040
97000,35700,2500
131000,46300,2620
144000,51300,2790
149000,56600,2530
128000,56500,2820
123000,56600,3150
91000,53200,2860
71500,54900,3280
70000,57500,3400
85100,60500,3510
118000,69800,3610
107000,72600,3680
95700,69800,3670
90500,70500,3460
96100,71000,3480
79400,68000,3610
80400,72100,3570
112000,80000,3690
107000,80300,3980
102000,77700,3710
106000,80300,3310
102000,80100,3250
89200,78400,3440
81700,78400,3810
79800,81700,4090
79600,84500,4180
